date,open,high,low,close,volume
2016-05-09,94.58,96.86,93.92,96.41,408650
2016-05-10,97.1,97.84,95.5,96.75,478477
2016-05-11,96.28,97.8,96.0,96.1,413678
2016-05-12,96.18,96.64,92.85,94.27,420137
2016-05-13,94.0,95.39,93.52,94.08,298425
2016-05-16,94.44,97.22,93.28,96.42,466820
2016-05-17,95.69,96.42,93.49,94.13,478809
2016-05-18,93.75,95.35,92.03,95.06,539103
2016-05-19,94.32,96.09,93.11,95.36,446810
2016-05-20,96.0,97.32,94.81,97.28,390928
2016-05-23,96.88,97.53,95.82,96.99,326738
2016-05-24,97.6,99.82,97.4,99.62,428793
2016-05-25,99.81,99.95,98.8,98.94,403460
2016-05-26,99.43,99.61,98.51,98.8,289295
2016-05-27,98.81,99.85,98.38,99.74,321165
2016-05-31,99.22,100.71,98.83,99.31,466666
2016-06-01,98.98,102.03,98.69,101.58,401234
2016-06-02,101.5,101.97,100.83,101.87,381604
2016-06-03,101.75,102.13,100.9,101.81,495950
2016-06-06,101.64,102.14,100.76,101.89,338429
2016-06-07,101.92,104.95,101.63,104.31,588009
2016-06-08,104.54,104.91,104.13,104.37,415374
2016-06-09,104.23,104.92,103.26,104.31,381989
2016-06-10,103.31,103.64,101.93,102.53,343461
2016-06-13,101.93,103.48,101.59,101.77,419680
2016-06-14,101.56,102.45,100.91,102.03,294545
2016-06-15,102.34,103.42,101.62,103.09,456650
2016-06-16,102.56,103.0,99.4,100.72,566016
2016-06-17,100.33,100.46,98.07,99.23,801782
2016-06-20,100.0,102.84,99.61,101.72,625658
2016-06-21,101.57,103.14,100.51,101.76,466838
2016-06-22,101.49,103.11,101.04,101.7,394987
2016-06-23,102.69,104.27,101.52,104.25,558205
2016-06-24,99.0,103.98,98.01,100.37,4664903
2016-06-27,99.57,101.45,99.01,101.23,1046022
2016-06-28,101.94,105.35,101.25,105.09,667003
2016-06-29,105.98,108.48,105.66,108.16,791818
2016-06-30,109.21,109.66,108.11,109.29,719336
2016-07-01,109.71,110.2,108.89,110.17,355337
2016-07-05,109.91,110.78,108.77,109.83,531802
2016-07-06,109.46,111.55,109.46,111.44,809462
2016-07-07,111.96,114.5,111.14,113.53,592422
2016-07-08,114.08,115.89,112.86,114.15,645893
2016-07-11,115.0,116.71,114.63,115.94,795738
2016-07-12,116.17,118.21,116.0,117.76,803751
2016-07-13,118.53,119.72,116.82,117.51,637344
2016-07-14,118.39,118.69,116.94,117.78,480559
2016-07-15,117.92,118.55,116.6,117.14,311525
2016-07-18,117.91,118.26,116.66,117.47,343322
2016-07-19,117.32,118.88,116.16,116.59,391182
2016-07-20,117.28,119.9,117.25,118.24,574503
2016-07-21,118.45,118.89,115.31,116.01,463432
2016-07-22,116.07,116.47,115.07,116.25,435028
2016-07-25,116.35,116.41,114.26,114.62,756719
2016-07-26,114.2,114.96,114.05,114.27,841357
2016-07-27,114.93,116.45,114.12,115.97,928820
2016-07-28,116.0,116.0,112.05,115.03,828104
